slug,company_name,phone,address,source_url,note
kokusai-kogyo,国際興業バス,0000000000,東京都中央区八重洲二丁目10番3号,(ユーザー提供のアップロード資料。ページはすでに実データで作成済み),電話番号は元資料がダミー値(0000000000)のまま。実際の代表電話は別途確認要
hokkaido-chuo-bus,北海道中央バス,0134-24-3301,北海道小樽市色内1丁目8番6号(〒047-0031),https://www.chuo-bus.co.jp/corporation/about/,
sapporo-shi-kotsukyoku,札幌市交通局,011-211-2111,〒060-8611 札幌市中央区北1条西2丁目,https://www.city.sapporo.jp/org/address/kotsu.html,
kounan-bus,弘南バス,0172-32-2241,青森県弘前市大字藤野2丁目3-6,https://www.konanbus.com/outline.html,
iwate-ken-kotsu,岩手県交通,019-654-2141,〒020-0034 岩手県盛岡市盛岡駅前通3番55号,https://www.iwatekenkotsu.co.jp/company.html,
sendai-shi-kotsukyoku,仙台市交通局,022-224-5111,〒980-0801 仙台市青葉区木町通1丁目4-15,https://www.kotsu.city.sendai.jp/kigyou/index.html,
miyagi-kotsu,宮城交通,022-771-5310,宮城県仙台市泉区泉ヶ丘3丁目13-20,https://www.miyakou.co.jp/company/outline/,
fukushima-kotsu,福島交通,024-533-2131,〒960-8132 福島県福島市東浜町7-8,https://www.fukushima-koutu.co.jp/about/,
yamagata-kotsu,山形交通,023-647-5171,〒990-0834 山形県山形市清住町1丁目1番20号,https://www.yamagatakotsu.jp/about/,
niigata-kotsu,新潟交通,025-246-6353,〒950-0088 新潟県新潟市中央区万代1丁目6番1号,https://www.niigata-kotsu.co.jp/soumu/profile.html,路線バス案内は別番号(025-246-6333)。本社代表として6353を採用したが要再確認
kawanakajima-bus,川中島バス,不明,不明,https://ja.wikipedia.org/wiki/川中島バス,2011年にアルピコ交通(旧・松本電気鉄道)へ吸収合併され法人として現存しない。求人ページの掲載主体として不適切な可能性あり
kanto-tetsudo,関東鉄道,029-822-3710,〒300-0847 茨城県土浦市卸町1-1-1 関鉄つくばビル,https://www.kantetsu.co.jp/about/,
kanto-jidosha,関東自動車,0570-031811,〒321-0934 栃木県宇都宮市簗瀬4丁目25番5号,https://www.kantobus.co.jp/company/index.php,
tobu-tetsudo,東武鉄道,03-5962-0102,東京都墨田区押上一丁目1番2号,https://www.tobu.co.jp/corporation/overview/,代表番号か部署別窓口かの明示区別なし
keisei-dentetsu,京成電鉄,047-712-7000,〒272-8510 千葉県市川市八幡三丁目3番1号,https://www.keisei.co.jp/keisei/ir/profile/corporatedata.html,
seibu-bus,西武バス,04-2995-8111,〒359-1180 埼玉県所沢市久米546-1,https://www.seibubus.co.jp/company/seibubus.html,
tokyo-to-kotsukyoku,東京都交通局,03-3816-5700,〒163-8001 東京都新宿区西新宿2-8-1,https://www.kotsu.metro.tokyo.jp/,
keio-teito-dentetsu,京王帝都電鉄(現・京王電鉄),042-337-3112,〒206-8502 東京都多摩市関戸一丁目9番地1,https://www.keio.co.jp/company/corporate/summary/,現社名は京王電鉄。旧社名のまま掲載してよいか要確認
kanagawa-chuo-kotsu,神奈川中央交通,不明,〒254-0811 神奈川県平塚市八重咲町6-18,https://www.kanachu-ir.jp/corporate/outline.html,電話番号は候補が複数あり確証が持てず不明とした
yokohama-shi-kotsukyoku,横浜市交通局,045-671-3147,〒231-0005 横浜市中区本町6丁目50番地の10 横浜市役所,https://www.city.yokohama.lg.jp/kotsu/kigyo/gaiyou/,部署窓口番号
yamanashi-kotsu,山梨交通,055-223-0811,〒400-0035 山梨県甲府市飯田3-2-34,http://yamanashikotsu.co.jp/about/,
hokuriku-tetsudo,北陸鉄道,076-204-9600,石川県金沢市広岡3丁目1番1号 金沢パークビル1F,https://www.hokutetsu.co.jp/company/summary/,
gifu-noriai-jidosha,岐阜乗合自動車(岐阜バス),058-240-8800,〒500-8722 岐阜県岐阜市九重町4丁目20番地,https://www.gifubus.co.jp/company/company.html,
shizuoka-tetsudo,静岡鉄道,054-254-5111,〒420-8510 静岡県静岡市葵区鷹匠一丁目1番1号(静鉄鷹匠ビル),https://www.shizutetsu.co.jp/company/about/profile,
nagoya-tetsudo,名古屋鉄道,052-582-5151,〒450-8501 愛知県名古屋市中村区名駅四丁目8番26号 エニシオ名駅,https://www.meitetsu.co.jp/profile/company/about/,お客様センター等の窓口番号の可能性、確度やや低
nagoya-shi-kotsukyoku,名古屋市交通局,052-972-3807,愛知県名古屋市中区三の丸三丁目1番1号,https://www.kotsu.city.nagoya.jp/jp/pc/INQ/TRP0001505.htm,部署窓口番号、確度やや低
mie-kotsu,三重交通,059-229-5555,三重県津市中央1番1号,https://www.sanco.co.jp/company/company10/company01/,
omi-tetsudo,近江鉄道,0749-22-3301,滋賀県彦根市駅東町15番1,https://www.ohmitetudo.co.jp/corporate/profile/,
kyoto-shi-kotsukyoku,京都市交通局,075-863-5200,〒616-8104 京都市右京区太秦下刑部町12番地,https://www.city.kyoto.lg.jp/kotsu/page/0000182070.html,部署窓口番号、確度やや低
hankyu-bus,阪急バス,06-6866-3111,〒560-8551 大阪府豊中市岡上の町1丁目1番16号(登記上本店は池田市井口堂1-9-21),https://www.hankyubus.co.jp/company/outline/,
osaka-shi-kotsukyoku,大阪市交通局→大阪市高速電気軌道(Osaka Metro),06-6582-1400,〒550-0025 大阪府大阪市西区九条南1丁目12番62号,https://www.osakametro.co.jp/company/company_profile/kaisya_gaiyou.php,大阪市交通局は2018年に民営化・解散。鉄道は大阪メトロ、バス事業は子会社の大阪シティバス(電話050-3355-8208)。どちらを掲載するか要確認
nankai-dentetsu,南海電気鉄道,不明,大阪府大阪市中央区難波五丁目1番60号,https://www.nankai.co.jp/company/gaiyou.html,本社代表電話は公式サイト上に明記が見当たらず不明
kobe-shi-kotsukyoku,神戸市交通局,078-333-3330,〒652-0855 兵庫県神戸市兵庫区御崎町一丁目2番1号,https://kotsu.city.kobe.lg.jp/company/overview/,
shinki-bus,神姫バス,079-223-1254,兵庫県姫路市西駅前町1番地,https://www.shinkibus.co.jp/info/overview/,お客様センター番号、代表番号との区別明記なし
nara-kotsu,奈良交通,0742-20-3116,奈良県奈良市大宮町1丁目1番25号,https://www.narakotsu.co.jp/company/profile/,
hinomaru-jidosha,日ノ丸自動車,0857-22-5154,〒680-0921 鳥取県鳥取市古海620番地,https://hinomarubus.co.jp/about/,元資料の表記は「日ノ丸」のみ。鳥取県の日ノ丸自動車株式会社と推定。別会社の可能性もあるため要最終確認
ichibata-dentetsu,一畑電車(旧・一畑電気鉄道),0853-62-3383,島根県出雲市平田町2226番地(雲州平田駅構内),https://railway.ichibata.co.jp/company/profiles/,営業部営業課の番号。バス事業は一畑バス(別法人)の可能性あり要確認
ryobi-bus,両備ホールディングス(両備バスカンパニー),0570-08-5050,〒700-8518 岡山県岡山市北区下石井二丁目10番12号,https://www.ryobi-holdings.jp/about/,「両備バス」は独立法人ではなく持株会社傘下の事業のため親会社の情報
hiroshima-dentetsu,広島電鉄,082-242-3502,〒730-8610 広島県広島市中区東千田町二丁目9番29号,https://www.hiroden.co.jp/company/outline/profile.html,
sanden-kotsu,サンデン交通,083-231-1000,〒750-8510 山口県下関市羽山町3番3号,https://www.sandenkotsu.co.jp/corporate/,
