post_title,post_content,post_status,company_name,address,phone,source_url,company_image,company_intro,company_about,reason1_title,reason1_text,reason2_title,reason2_text,reason3_title,reason3_text,business_content,service_area,job_type,salary,office_area,office_area_note,work_description,work_note,faq1_question,faq1_answer,faq2_question,faq2_answer,faq3_question,faq3_answer,cta_text,cta_button_text,cta_url,tag1,tag2,tag3,tag4
国際興業バス,[bus_company_article],draft,国際興業バス,東京都中央区八重洲二丁目10番3号,0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道中央バス,[bus_company_article],draft,北海道中央バス,北海道小樽市色内1丁目8番6号(〒047-0031),0134-24-3301,https://www.chuo-bus.co.jp/corporation/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌市交通局,[bus_company_article],draft,札幌市交通局,〒060-8611 札幌市中央区北1条西2丁目,011-211-2111,https://www.city.sapporo.jp/org/address/kotsu.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弘南バス,[bus_company_article],draft,弘南バス,青森県弘前市大字藤野2丁目3-6,0172-32-2241,https://www.konanbus.com/outline.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩手県交通,[bus_company_article],draft,岩手県交通,〒020-0034 岩手県盛岡市盛岡駅前通3番55号,019-654-2141,https://www.iwatekenkotsu.co.jp/company.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仙台市交通局,[bus_company_article],draft,仙台市交通局,〒980-0801 仙台市青葉区木町通1丁目4-15,022-224-5111,https://www.kotsu.city.sendai.jp/kigyou/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮城交通,[bus_company_article],draft,宮城交通,宮城県仙台市泉区泉ヶ丘3丁目13-20,022-771-5310,https://www.miyakou.co.jp/company/outline/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福島交通,[bus_company_article],draft,福島交通,〒960-8132 福島県福島市東浜町7-8,024-533-2131,https://www.fukushima-koutu.co.jp/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山形交通,[bus_company_article],draft,山形交通,〒990-0834 山形県山形市清住町1丁目1番20号,023-647-5171,https://www.yamagatakotsu.jp/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新潟交通,[bus_company_article],draft,新潟交通,〒950-0088 新潟県新潟市中央区万代1丁目6番1号,025-246-6353,https://www.niigata-kotsu.co.jp/soumu/profile.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
